1,W,2
1,U,2
1,E,3
1,S,4
1,D,4
1,N,5
2,E,1
2,S,5
3,W,1
4,N,1
4,E,5
4,W,5
4,U,5
4,S,7
4,D,7
5,E,4
5,D,4
5,W,5
5,S,5
5,N,6
6,N,1
6,E,4
6,W,4
6,D,4
6,S,5
7,N,4
7,E,5
7,W,5
7,S,8
8,E,5
8,W,5
8,S,5
8,N,7
9,W,10
10,E,9
10,W,11
11,E,10
11,U,12
11,W,12
12,D,11
12,E,11
12,U,13
12,W,13
13,E,12
13,W,14
14,E,13
14,D,15
14,W,16
15,S,18
15,W,17
15,D,19
15,N,19
15,U,14
16,E,14
17,E,15
18,N,15
19,U,15
19,E,15
19,N,32
23,E,67
23,W,68
23,D,25
24,U,67
25,U,23
27,N,40
27,W,41
28,S,19
28,N,33
28,D,36
29,N,19
30,E,19
30,W,62
30,U,62
33,S,28
33,E,34
33,W,35
34,D,33
34,U,15
35,E,33
36,E,37
36,U,28
36,W,39
37,W,36
37,D,38
38,U,37
39,E,36
39,D,64
41,S,42
41,U,42
41,E,27
41,N,59
41,W,60
42,U,41
42,N,42
42,E,43
42,S,45
42,W,80
43,W,42
43,S,44
43,E,45
44,E,43
44,D,48
44,S,50
44,N,82
45,W,42
45,N,43
45,E,46
45,S,47
45,U,87
45,D,87
46,W,45
47,E,45
48,U,44
49,E,50
49,W,51
50,E,44
50,W,49
50,D,51
50,S,52
51,W,49
51,U,50
51,E,52
51,S,53
52,W,50
52,E,51
52,S,52
52,U,53
52,N,55
52,D,86
53,W,51
53,N,52
53,S,54
54,W,53
55,W,52
55,N,55
55,D,56
55,E,57
56,U,55
57,D,13
57,W,55
57,S,58
57,N,83
57,E,84
58,E,57
60,E,41
60,U,41
60,W,61
60,N,62
60,D,62
61,E,60
61,N,62
62,W,60
62,N,63
62,E,30
62,S,61
63,S,62
64,U,39
64,W,65
64,N,103
64,E,106
65,E,64
65,W,66
65,U,39
65,N,71
65,D,106
66,NE,65
66,W,67
66,E,96
67,E,66
67,W,23
67,D,24
68,S,23
68,U,69
68,N,65
69,D,68
69,S,119
69,N,109
70,N,71
70,D,65
70,S,111
71,SE,65
71,S,70
71,N,110
72,SW,118
72,N,73
72,SE,97
73,S,72
74,E,19
74,W,121
74,D,75
75,S,76
75,N,77
76,N,75
77,E,75
77,W,78
77,N,66
78,S,77
80,N,42
80,W,80
80,S,80
80,E,81
81,W,80
82,S,44
83,S,57
83,E,84
83,W,85
84,N,57
84,W,83
84,NW,114
85,E,83
86,U,52
87,U,45
87,D,45
88,D,25
88,E,25
88,W,92
91,N,95
91,D,72
92,S,88
92,E,93
92,N,94
93,S,92
94,S,92
95,S,94
95,W,91
96,W,66
97,SE,66
97,W,72
97,U,98
97,N,98
98,S,97
98,W,99
99,NW,98
99,E,100
100,W,99
100,NE,101
101,S,100
102,D,103
103,U,102
103,D,104
103,S,64
104,U,103
104,D,105
105,U,104
106,U,64
106,W,65
106,E,108
107,S,131
107,SW,132
107,NE,133
107,SE,134
107,U,135
107,NW,136
107,E,137
107,W,138
107,N,139
107,D,61
108,E,106
109,S,69
109,N,113
110,W,71
111,N,70
111,D,45
112,SW,131
112,N,132
112,E,133
112,NW,134
112,SE,135
112,NE,136
112,W,137
112,D,138
112,U,139
112,S,140
113,S,109
114,SE,84
115,SW,116
116,NE,115
117,SW,118
118,D,72
118,U,117
119,N,69
120,N,69
120,E,74
121,E,74
122,NE,123
123,W,122
123,E,124
124,W,123
124,NE,125
124,SE,128
124,D,128
125,S,124
125,N,126
125,E,127
126,S,125
127,W,125
128,N,124
128,U,124
128,S,129
128,D,129
129,W,128
129,U,128
129,E,130
130,W,129
131,W,107
131,SE,132
131,NW,133
131,SW,134
131,NE,135
131,U,136
131,D,137
131,N,138
131,S,139
131,E,112
132,NW,107
132,U,131
132,N,133
132,S,134
132,W,135
132,SW,136
132,NE,137
132,E,138
132,D,139
132,SE,112
133,U,107
133,D,131
133,W,132
133,NE,134
133,SW,135
133,E,136
133,N,137
133,NW,138
133,SE,139
133,S,112
134,NE,107
134,N,131
134,NW,132
134,SE,133
134,E,135
134,D,136
134,S,137
134,U,138
134,W,139
134,SW,112
135,N,107
135,SE,131
135,D,132
135,S,133
135,E,134
135,W,136
135,SW,137
135,NE,138
135,NW,139
135,U,112
136,E,107
136,W,131
136,U,132
136,SW,133
136,D,134
136,S,135
136,NW,137
136,SE,138
136,NE,139
136,N,112
137,SE,107
137,NE,131
137,S,132
137,D,133
137,U,134
137,NW,135
137,N,136
137,SW,138
137,E,139
137,W,112
138,D,107
138,E,131
138,NE,132
138,U,133
138,W,134
138,N,135
138,S,136
138,SE,137
138,SW,139
138,NW,112
139,SW,107
139,NW,131
139,E,132
139,W,133
139,N,134
139,D,135
139,SE,136
139,U,137
139,S,138
139,NE,112
140,N,112
